ClickHouse (ClickHouse.Ado);1000;15145.8421;9032.3554;14251.6515;18977.3013
ClickHouse (ClickHouse.Ado);1000;14837.0617;8486.175;20065.2366;27652.8464
ClickHouse (ClickHouse.Ado);1000;14492.8619;8297.2043;13693.5478;19789.5917
ClickHouse (ClickHouse.Ado);1000;13973.7266;7307.0804;13109.7532;17867.5777
ClickHouse (ClickHouse.Ado);1000;13829.0186;8234.6111;13601.2061;13339.5813
ClickHouse (ClickHouse.Ado);1000;13806.9426;11128.3296;22731.8054;17225.1587
Postgres (Npgsql);5000;13726.6513;6175.6972;11990.665;12781.2764
ClickHouse (ClickHouse.Ado);1000;13678.3958;7826.6795;14428.9165;12755.4081
Postgres (Npgsql);5000;13445.0274;5939.8834;20675.3812;13064.2694
ClickHouse (ClickHouse.Ado);1000;13353.8227;11218.3595;17057.7074;16442.8664
ClickHouse (ClickHouse.Ado);1000;13353.4862;8432.2236;11972.2458;11422.9061
ClickHouse (ClickHouse.Ado);1000;13239.1991;9028.5347;12193.529;17694.4414
ClickHouse (ClickHouse.Ado);1000;13016.844;7257.5338;12739.8658;14594.8864
ClickHouse (ClickHouse.Ado);1000;12985.7967;10141.263;12660.7159;16407.9487
ClickHouse (ClickHouse.Ado);1000;12959.2823;7351.0714;11705.2861;15262.179
ClickHouse (ClickHouse.Ado);1000;12834.1437;8948.1921;13088.0936;19050.327
ClickHouse (ClickHouse.Ado);1000;12811.8985;13292.2891;29062.3917;38682.3432
Postgres (Npgsql);5000;12755.5043;6006.786;11684.9357;11476.9296
ClickHouse (ClickHouse.Ado);1000;12751.0299;8899.359;12889.4231;14944.7218
Postgres (Npgsql);5000;12738.846;6703.619;15113.2724;12875.0012
ClickHouse (ClickHouse.Ado);1000;12735.5548;6988.2937;14669.8369;13041.5554
ClickHouse (ClickHouse.Ado);1000;12530.7915;8005.4915;11966.315;18387.3324
ClickHouse (ClickHouse.Ado);1000;12443.4958;9560.3911;12385.9109;16691.4917
ClickHouse (ClickHouse.Ado);1000;12321.7422;7869.0707;15809.5184;15062.7377
ClickHouse (ClickHouse.Ado);1000;12288.5185;11662.2627;15840.3128;18509.7249
ClickHouse (ClickHouse.Ado);1000;12241.3319;6775.4885;11653.5629;14448.422
